,Bildtitel,Bildtitel: sorbisch,Nummer des Digitalisats,Fotograf,Bildbeschreibung,Ort sorbisch / Ort deutsch,Bildrechteinhaber,Größe der Original- bzw. Digitalisierungsvorlage,Datum der Aufnahme,Bundesland
99,"gewebtes Tuch, Leinen",,XXI 12_004.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1972,Sachsen
100,"gewebtes Tuch, Leinen",,XXI 12_005.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1973,Sachsen
101,"gewebtes Tuch, Leinen",,XXI 12_006.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1974,Sachsen
102,"gewebtes Tuch, Leinen",,XXI 12_007.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1975,Sachsen
103,"gewebtes Tuch, Leinen",,XXI 12_008.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1976,Sachsen
104,"gewebtes Tuch, Leinen",,XXI 12_009.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1977,Sachsen
105,"gewebtes Tuch mit Kennzeichnung, Leinen ",,XXI 12_010.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1978,Sachsen
106,Spinnstube,,ZM XXXV 42_025.jpg,"Klau, Richard",,Dešno / Dissen,Sorbisches Institut Bautzen,,um 1905,Brandenburg
107,"Alte Sorbin/Wendin zum Besuch, im Hintergrund Frau am Spinnrad",,ZM XXXV 42_023.jpg,"Klau, Richard",,Dešno / Dissen,Sorbisches Institut Bautzen,,um 1905,Brandenburg
108,"Familie in der Stube des Bauernhauses mit Hupaua (Wiege), Butzenofen und Spinnrad",,ZM XXXV 42_017.jpg,"Klau, Richard",,Janšojce / Jänschwalde,Sorbisches Institut Bautzen,,um 1905,Brandenburg
